Kelamin,Rata-ratasem4,Rata-ratasem5,Rata-ratasem6,Tanggungan,PenghasilanAyah(Rupiah),PenghasilanIbu(Rupiah),Jumlahpenghasilan,Pekerjaan Ayah,Kepemilikanrumah,BahanLantai,Diterima/tdk
Perempuan,80,80,80,5,500000,0,500000,PEDAGANG,Sewa Bulanan,Ubin,1
Perempuan,80,83,87,5,750000,0,750000,Petani,Milik Sendiri,Kayu,1
Perempuan,82,8353,83,6,1000000,0,1000000,Buruh harian,Milik Sendiri,Semen Plaster,0
Perempuan,8157,8310,8573,4,200000,0,200000,Petani,Milik Sendiri,Ubin,1
Perempuan,92,92,92,7,1000000,0,1000000,Petani,Milik Sendiri,Keramik,0
Perempuan,88,89,91,5,500000,0,500000,Buruh Harian Lepas,Milik Sendiri,Ubin,1
Laki-laki,789,781,799,10,0,2500000,2500000,Tidak Bekerja,Menumpang,Ubin,1
Perempuan,8066,8383,8466,5,0,0,0,Seniman/Guru Musik Honorer,Sewa Bulanan,Ubin,1
Perempuan,83,85,86,6,0,0,0,Tidak bekerja,Milik Sendiri,Ubin,1
Perempuan,8508,8564,,9,0,1300000,1300000,Buruh,Menumpang,Keramik,0
Perempuan,84,87,87,4,2000000,0,2000000,Ayah saya bekerja membuat ring/begel besi. (Buruh) ,Menumpang,Keramik,1
Perempuan,8273,83,849,6,1500000,0,1500000,PEDAGANG KECIL,Milik Sendiri,Semen Plaster,1
Laki-laki,84,82,86,5,0,300000,300000,TIDAK ADA,Menumpang,Keramik,1
Perempuan,,,,4,1600000,0,1600000,Karyawan swasta,Milik Sendiri,Ubin,1
Perempuan,8175,8325,8351,6,70000,0,70000,Buruh tani,Milik Sendiri,Keramik,1
Laki-laki,85,85,85,3,1000000,0,1000000,Satpam,Milik Sendiri,Ubin,1
Laki-laki,79,81,82,6,3000000,0,3000000,Karyawan Swasta,Milik Sendiri,Keramik,1
Perempuan,83,85,87,4,3000000,0,3000000,Buruh harian lepas,Milik Sendiri,Keramik,0
Laki-laki,924,934,9406,4,1500000,0,1500000,Buruh,Menumpang,Kayu,1
Perempuan,8057,8142,8314,6,0,2500000,2500000,Tidak bekerja,Menumpang,Keramik,1
Laki-laki,89,90,,6,0,2000000,2000000,Wiraswasta,Menumpang,Keramik,0
Perempuan,8039,8147,7988,4,1500000,0,1500000,pedagang,Sewa Bulanan,Keramik,1
Perempuan,804,817,848,4,0,250000,250000,Tidak Bekerja,Milik Sendiri,Keramik,1
Perempuan,,,,5,2500000,0,2500000,Kuli bangunan,Sewa Bulanan,Semen Plaster,1
Laki-laki,8418,8473,8891,5,1500000,0,1500000,Tukang Batu,Milik Sendiri,Keramik,0
Perempuan,82,81,77,3,1000000,100000,1100000,Petani padi dan karet,Milik Sendiri,Semen Plaster,0
Perempuan,83,83,84,5,2000000,0,2000000,Ojek Online,Menumpang,Ubin,1
Perempuan,80,80,81,4,0,100000,100000,tidak bekerja,Milik Sendiri,Ubin,1
Perempuan,81,82,83,6,1000000,0,1000000,Serabutan,Milik Sendiri,Keramik,1
Perempuan,81,79,856,5,750000,50000,800000,Petani,Milik Sendiri,Tanah,1
Perempuan,8086,8126,8293,6,200000,0,200000,WIRAUSAHA,Menumpang,Keramik,0
Perempuan,84,91,92,7,30000,0,30000,Penjahit,Menumpang,Ubin,0
Perempuan,84,85,85,3,0,300000,300000,-,Milik Sendiri,Keramik,1
Perempuan,85,863,,4,500000,0,500000,BURUH ,Milik Sendiri,Semen Plaster,1
Perempuan,1449,1494,1677,5,1750000,0,1750000,Buruh pabrik,Menumpang,Ubin,1
Laki-laki,85,86,89,3,650000,200000,850000,Buruh Harian Lepas,Milik Sendiri,Keramik,0
Laki-laki,75,80,81,4,1500000,0,1500000,Buruh,Milik Sendiri,Keramik,1
Perempuan,8307,836,8453,5,500000,0,500000,Tidak Bekerja,Milik Sendiri,Keramik,1
Perempuan,80,84,86,7,0,1000000,1000000,-,Milik Sendiri,Semen Plaster,1
Perempuan,7505,8406,8552,9,500000,0,500000,serabutan,Menumpang,Keramik,0
Perempuan,8187,8008,8367,3,750000,0,750000,Buruh,Menumpang,Ubin,1
Perempuan,80,80,79,6,0,0,0,Tidak bekerja ,Milik Sendiri,Ubin,1
Perempuan,82,83,85,6,3000000,0,3000000,Buruh ,Menumpang,Keramik,0
Perempuan,80,80,85,5,3000000,1000000,4000000,PETANI,Milik Sendiri,Semen Plaster,1
Perempuan,872,852,876,3,300000,0,300000,BURUH,Milik Sendiri,Keramik,1
Laki-laki,82,78,80,4,2000000,0,2000000,buruh tani,Milik Sendiri,Keramik,0
Laki-laki,843,862,888,3,0,2000000,2000000,Wiraswasta,Milik Sendiri,Keramik,1
Laki-laki,794,836,835,32,4000000,0,4000000,BURUH,Milik Sendiri,Keramik,0
Perempuan,,,,7,2000000,0,2000000,Sopir,Sewa Bulanan,Semen Plaster,0
Perempuan,84,87,86,4,900000,3000000,3900000,Buruh toko,Menumpang,Keramik,1
Laki-laki,70,70,70,6,0,0,0,0,Menumpang,Keramik,1
Laki-laki,85,87,85,3,500,0,500,Petani,Milik Sendiri,Keramik,0
Perempuan,,,,5,1000000,0,1000000,Petani,Milik Sendiri,Ubin,1
Perempuan,8545,8845,8860,3,2900000,0,2900000,Buruh Harian Lepas,Milik Sendiri,Keramik,0
Perempuan,80,84,85,8,250000,0,250000,Juru Parkir ,Menumpang,Keramik,1
Laki-laki,82,82,84,8,4000000,0,4000000,Pegawai Swasta,Menumpang,Keramik,1
Laki-laki,83,84,86,2,0,300000,300000,Petani,Milik Sendiri,Ubin,0
Perempuan,822,8333,846,4,20000,2400000,2420000,Buruh,Milik Sendiri,Keramik,0
Laki-laki,70,70,75,10,0,0,0,PETANI,Milik Sendiri,Tanah,0
Perempuan,80,82,82,4,1750000,0,1750000,Buruh,Milik Sendiri,Keramik,1
Laki-laki,83,853,86,5,1200000,0,1200000,Kurir,Sewa Bulanan,Keramik,1
Perempuan,85,85,85,4,0,500,500,Tidak bekerja (Lansia),Milik Sendiri,Ubin,0
Laki-laki,8558,85,855,6,2000000,0,2000000,Tidak Bekerja,Milik Sendiri,Keramik,1
Perempuan,914,765,772,3,0,0,0,Tidak bekerja,Sewa Bulanan,Ubin,1
Perempuan,87,82,,4,35000,0,35000,Buruh Petani,Milik Sendiri,Semen Plaster,1
Perempuan,827,83,851,2,1000000,0,1000000,Buruh,Menumpang,Semen Plaster,0
Laki-laki,85,86,85,4,500000,0,500000,Sopir,Milik Sendiri,Keramik,1
Perempuan,79,81,84,6,1800000,0,1800000,karyawan swasta,Menumpang,Keramik,0
Perempuan,81,85,84,6,2000000,0,2000000,Penjaga bengkel showroon ,Sewa Bulanan,Ubin,1
Perempuan,945,977,993,5,70000,100000,170000,Tukang ojek ,Milik Sendiri,Keramik,1
Perempuan,87,87,83,4,1500000,1000000,2500000,DRIVER OJOL,Milik Sendiri,Keramik,1
Perempuan,8536,8554,88,5,3000000,1000000,4000000,Buruh (bangunan),Milik Sendiri,Keramik,1
Laki-laki,81,83,85,4,1500000,500000,2000000,WIRASWASTA,Milik Sendiri,Keramik,0
Perempuan,,,,3,3000000,0,3000000,Karyawan Swasta,Menumpang,Ubin,1
Perempuan,847,845,854,6,0,500000,500000,Tidak bekerja (sakit stroke),Milik Sendiri,Semen Plaster,1
Perempuan,92,95,93,4,3000000,0,3000000,Buruh harian ,Sewa Bulanan,Keramik,1
Perempuan,84,87,89,5,0,800000,800000,Tidak bekerja,Sewa Bulanan,Keramik,0
Perempuan,85,83,85,3,0,2000000,2000000,-,Menumpang,Ubin,0
Laki-laki,8833,8836,88,4,0,840000,840000,Tidak Bekerja,Milik Sendiri,Keramik,0
Laki-laki,82,81,84,20,0,0,0,Buruh,Menumpang,Keramik,1
Perempuan,78,79,82,3,1050000,1000000,2050000,Buruh Bangunan,Menumpang,Keramik,1
Perempuan,84,82,83,6,250000,0,250000,Buruh,Milik Sendiri,Keramik,1
Laki-laki,80,82,83,4,3000000,0,3000000,Peg.swasta,Milik Sendiri,Keramik,0
Perempuan,834,84,856,4,1500000,0,1500000,Wiraswasta,Milik Sendiri,Semen Plaster,1
Perempuan,8,8,8,4,2500000,0,2500000,karyawan swasta,Milik Sendiri,Ubin,1
Perempuan,88,88,89,4,0,0,0,TIDAK BEKERJA,Menumpang,Keramik,1
Laki-laki,,,,3,1500000,0,1500000,Buruh,Milik Sendiri,Ubin,1
Laki-laki,,,,4,3000000,0,3000000,Karyawan,Milik Sendiri,Ubin,1
Perempuan,80,81,,4,250000,0,250000,Buruh,Milik Sendiri,Tanah,1
Laki-laki,86,86,86,4,2000000,0,2000000,Wirausaha,Menumpang,Semen Plaster,1
Perempuan,88,87,89,6,0,0,0,Sudah tidak bekerja,Menumpang,Keramik,1
Perempuan,86,87,87,5,3000000,0,3000000,Wiraswasta,Milik Sendiri,Keramik,1
Perempuan,8661,8916,9175,4,500000,0,500000,Wiraswasta,Milik Sendiri,Keramik,0
Perempuan,80,80,80,3,900000,0,900000,Buruh,Milik Sendiri,Keramik,0
Perempuan,80,81,,4,250000,0,250000,Buruh,Milik Sendiri,Tanah,1
Perempuan,80,85,80,5,1500000,0,1500000,Buruh pabrik,Milik Sendiri,Tanah,1
Perempuan,80,87,87,4,0,0,0,Tidak bekerja,Milik Sendiri,Keramik,1
Perempuan,81,82,83,4,0,1000000,1000000,-,Sewa Bulanan,Ubin,1
Laki-laki,84,807,843,5,1500000,1000000,2500000,Pedagang,Milik Sendiri,Keramik,1
Perempuan,75,75,78,5,0,500000,500000,Tidak bekerja,Milik Sendiri,Ubin,1
Perempuan,80,83,82,5,2250000,0,2250000,Wiraswasta,Menumpang,Ubin,1
Laki-laki,847,884,892,7,2917744,0,2917744,Cleaning Service,Milik Sendiri,Semen Plaster,1
Perempuan,,,,4,750000,500000,1250000,buruh ,Milik Sendiri,Keramik,1
Laki-laki,83,87,87,5,1800000,500000,2300000,Pedagang Kecil,Milik Sendiri,Keramik,0
Perempuan,86,88,89,5,3000000,500000,3500000,Pegawai Swasta,Milik Sendiri,Semen Plaster,1
Perempuan,8274,8263,8463,3,1500000,1000000,2500000,Buruh harian,Milik Sendiri,Semen Plaster,1
Laki-laki,885,885,876,3,70000,0,70000,WIRASWASTA,Milik Sendiri,Kayu,1
Perempuan,78,82,80,6,0,0,0,Tidak bekerja,Menumpang,Keramik,1
Laki-laki,87,80,87,4,1500000,1000000,2500000,Bertani,Milik Sendiri,Ubin,1
Perempuan,79,93,78,5,50000,0,50000,Buruh,Menumpang,Keramik,1
Laki-laki,78,78,78,1,1200000,0,1200000,Buruh,Sewa Bulanan,Ubin,0
Perempuan,78,77,79,4,2500000,1500000,4000000,Wiraswasta,Menumpang,Keramik,1
Laki-laki,80,84,84,6,0,0,0,SUPIR,Menumpang,Keramik,0
Laki-laki,81,82,81,4,1000000,0,1000000,Wiraswasta,Sewa Bulanan,Keramik,1
Perempuan,,,,5,0,250000,250000,Tidak bekerja,Milik Sendiri,Semen Plaster,1
Laki-laki,8208,8237,8145,5,15,0,15,wirausaha,Milik Sendiri,Keramik,1
Laki-laki,,,,2,0,100,100,-,Menumpang,Ubin,1
Perempuan,80,82,84,5,3000000,0,3000000,Karyawan,Milik Sendiri,Ubin,0
Perempuan,836,8486,8586,5,1000000,0,1000000,Pedagang,Milik Sendiri,Keramik,1
Perempuan,85,83,79,6,4200000,0,4200000,PPSU,Milik Sendiri,Keramik,0
Laki-laki,8563,8581,8758,5,1000000,0,1000000,Pedagang,Milik Sendiri,Keramik,1
Laki-laki,8653,8236,8563,4,1250000,0,1250000,Wiraswasta,Milik Sendiri,Keramik,1
Perempuan,86,89,,12,2000000,0,2000000,buruh harian lepas,Menumpang,Ubin,0
Perempuan,83,85,86,2,5000000,2000000,7000000,Karyawan Swasta,Sewa Bulanan,Keramik,0
Perempuan,85,91,93,5,1000000,1000000,2000000,Wirausaha,Milik Sendiri,Keramik,1
Perempuan,87,86,88,7,2000000,0,2000000,Tukang service elektronik,Sewa Tahunan,Ubin,1
Perempuan,77,80,80,11,0,5000000,5000000,Tidak Bekerja,Menumpang,Ubin,0
Laki-laki,80,78,80,4,250,0,250,Penjual mie ayam kota,Milik Sendiri,Ubin,1
Laki-laki,8072,827,835,4,4000000,0,4000000,Driver ekspedisi SAP,Milik Sendiri,Keramik,0
Perempuan,8021,8257,8347,6,2000000,0,2000000,Pedagang,Milik Sendiri,Keramik,1
Laki-laki,791,8042,815,2,250000,0,250000,Petani,Milik Sendiri,Semen Plaster,1
Laki-laki,8267,8050,8340,4,2000000,0,2000000,Pangkas rambut,Milik Sendiri,Tanah,1
Perempuan,84,86,88,5,800,0,800,Buruh Tani,Milik Sendiri,Keramik,0
Perempuan,83,87,89,9,0,0,0,Tidak bekerja,Milik Sendiri,Semen Plaster,1
Laki-laki,85,78,79,6,1650000,0,1650000,Karyawan Swasta,Milik Sendiri,Keramik,0
Perempuan,80,80,82,8,700000,0,700000,Almarhum,Menumpang,Keramik,0
Laki-laki,885,887,897,8,2500000,0,2500000,Buruh,Menumpang,Semen Plaster,1
Laki-laki,89,88,91,3,0,750000,750000,Telah wafat,Milik Sendiri,Keramik,0
Perempuan,86,87,89,5,0,250000,250000,Sudah tidak bekerja karena sakit,Milik Sendiri,Keramik,1
Laki-laki,83,86,8204,3,0,0,0,Pensiunan Pegawai swasta,Milik Sendiri,Ubin,0
Laki-laki,78,81,83,9,0,0,0,KORBAN PHK,Menumpang,Keramik,0
Perempuan,823,865,878,5,700000,0,700000,Petani,Milik Sendiri,Keramik,1
Perempuan,80,81,81,4,1000000,0,1000000,Buruh lepas,Sewa Bulanan,Ubin,1
Perempuan,85,88,88,3,0,1400000,1400000,Tidak Bekerja,Milik Sendiri,Keramik,1
Perempuan,,,,6,0,200,200,Tidak bekerja,Milik Sendiri,Keramik,1
Laki-laki,783,70,,2,0,0,0,Wiraswasta,Milik Sendiri,Keramik,1
Laki-laki,821,872,894,3,3500000,0,3500000,Pegawai swasta,Sewa Bulanan,Keramik,1
Perempuan,8599,8272,8400,3,1250,1500,2750,WIRASWASTA,Sewa Bulanan,Keramik,0
Laki-laki,789,802,831,5,2000000,0,2000000,Karyawan Swasta,Sewa Bulanan,Ubin,0
Perempuan,,,,6,3000000,3000000,6000000,BURUH,Menumpang,Ubin,0
Perempuan,84,84,87,3,750000,0,750000,Buruh,Milik Sendiri,Keramik,1
Perempuan,7,8,8,5,0,0,0,Tidak bekerja,Menumpang,Keramik,0
Perempuan,858,878,883,6,1500000,0,1500000,Tukang listrik dan wirausaha,Milik Sendiri,Keramik,1
Perempuan,78,811,834,6,700,50,750,tidak bekerja,Menumpang,Keramik,1
Laki-laki,81,84,85,3,500000,0,500000,BURUH HARIAN LEPAS,Milik Sendiri,Ubin,1
Perempuan,83,86,87,4,750000,500000,1250000,Petani,Milik Sendiri,Semen Plaster,1
Perempuan,81,80,79,5,2000000,0,2000000,buruh,Menumpang,Keramik,1
Perempuan,78,82,82,5,0,0,0,Tidak bekerja,Menumpang,Keramik,1
Perempuan,82,86,87,6,2500000,0,2500000,buruh,Menumpang,Ubin,1
Laki-laki,80,82,83,8,2000000,0,2000000,Wiraswasta,Menumpang,Keramik,0
Perempuan,81,79,86,5,2000000,0,2000000,buruh,Menumpang,Keramik,0
Perempuan,85,84,87,3,2000000,0,2000000,Petani,Milik Sendiri,Semen Plaster,1
Perempuan,78,85,87,2,0,0,0,Karyawan Swasta,Milik Sendiri,Keramik,0
Perempuan,7502786,7714,81076,7,0,500000,500000,Tidak ada,Milik Sendiri,Ubin,1
Laki-laki,,,,4,0,500,500,Buruh,Menumpang,Semen Plaster,0
Laki-laki,83,81,80,2,0,800000,800000,0,Milik Sendiri,Semen Plaster,0
Perempuan,8671,8957,9228,9,2500000,0,2500000,Wiraswasta,Milik Sendiri,Keramik,1
Laki-laki,8391,847,,4,1500000,0,1500000,Kuli Bangunan,Milik Sendiri,Semen Plaster,1
Perempuan,824,86,852,4,2000000,800000,2800000,Buruh harian lepas,Sewa Tahunan,Keramik,1
Laki-laki,84,83,86,4,2300000,0,2300000,Buruh ,Milik Sendiri,Keramik,0
Laki-laki,8409,8373,8518,5,3000000,0,3000000,Wiraswasta dagang,Milik Sendiri,Keramik,1
Laki-laki,8029,8129,8314,4,0,1000000,1000000,-,Sewa Tahunan,Keramik,0
Perempuan,796,786,,5,1000000,0,1000000,BURUH,Milik Sendiri,Keramik,1
Perempuan,84,87,87,4,2000000,0,2000000,Karyawan swasta ,Milik Sendiri,Keramik,0
Perempuan,82,84,86,3,50000,0,50000,Buruh,Milik Sendiri,Ubin,1
Laki-laki,913,936,911,3,900000,0,900000,Buruh,Milik Sendiri,Semen Plaster,1
Laki-laki,78,81,80,4,20,0,20,Buruh serabutan,Milik Sendiri,Semen Plaster,1
Perempuan,877,84,846,4,0,1250000,1250000,tidak bekerja,Sewa Bulanan,Ubin,1
Perempuan,858,875,898,8,3000000,0,3000000,BURUH,Menumpang,Ubin,0
Perempuan,8479,8564,87,4,1500000,0,1500000,BURUH HARIAN LEPAS,Milik Sendiri,Keramik,0
Laki-laki,815,801,792,6,0,0,0,Guru ngaji,Menumpang,Keramik,1
Laki-laki,82,82,82,4,1000000,0,1000000,BURUH TANI,Milik Sendiri,Tanah,1
Perempuan,84,84,84,5,3750000,0,3750000,Buruh pabrik sepatu ,Menumpang,Keramik,0
Perempuan,88,87,81,6,50000,0,50000,Buruh Harian Lepas,Milik Sendiri,Keramik,1
Perempuan,88,85,79,12,50000,0,50000,Buruh Harian Lepas,Milik Sendiri,Keramik,1
Perempuan,792,797,80,4,4300000,0,4300000,Tidak Bekerja (Pensiunan) ,Sewa Tahunan,Keramik,0
Perempuan,813,835,862,4,3000000,0,3000000,KARYAWAN SWASTA,Menumpang,Kayu,1
Perempuan,826,89,84,7,700000,500000,1200000,Kurir Toko,Menumpang,Ubin,1
Perempuan,84,87,89,2,4000000,0,4000000,Karyawan Swasta,Sewa Bulanan,Keramik,1
Perempuan,87,89,90,4,0,0,0,-,Milik Sendiri,Kayu,0
Perempuan,80,80,84,4,2000000,0,2000000,Buruh petani,Milik Sendiri,Ubin,1
Laki-laki,79,79,80,6,1500000,0,1500000,Supir freelance,Sewa Bulanan,Ubin,0
Perempuan,,,,4,1000,500,1500,Petani,Milik Sendiri,Kayu,1
Perempuan,84,84,85,4,1000000,0,1000000,BURUH,Milik Sendiri,Semen Plaster,1
Laki-laki,7645,8344,8046,4,0,0,0,Pegawai swasta,Sewa Bulanan,Ubin,1
Laki-laki,79,79,81,3,2500000,0,2500000,peternak ikan,Milik Sendiri,Semen Plaster,1
Laki-laki,83,865,87,4,900000,0,900000,Driver ojek online,Milik Sendiri,Ubin,0
Laki-laki,77,65,82,4,700000,0,700000,Wiraswasta ,Milik Sendiri,Ubin,0
Perempuan,88,89,89,2,250000,500000,750000,Pedagang sayur,Sewa Bulanan,Ubin,0
Laki-laki,81,76,77,3,0,0,0,Ojek Online (OJOL),Sewa Tahunan,Keramik,1
Perempuan,83,85,80,6,2000000,0,2000000,Wirausaha,Menumpang,Keramik,0
Perempuan,8617,851,8556,5,3000000,0,3000000,Karyawna swasta,Milik Sendiri,Keramik,0
Perempuan,9242,9327,9291,6,1250000,0,1250000,Supir Angkot,Menumpang,Ubin,1
Perempuan,80,78,80,5,100000,60000,160000,WIRAUSAHA,Milik Sendiri,Ubin,1
Perempuan,791,7473,8173,5,2000000,0,2000000,Pedagang,Milik Sendiri,Keramik,0
Laki-laki,,,,5,1000000,250000,1250000,WIRAUSAHA,Milik Sendiri,Keramik,1
Perempuan,84,84,81,5,1620000,0,1620000,Karyawan Swasta,Menumpang,Kayu,0
Laki-laki,90,89,89,6,10,1000000,1000010,WIRASWASTA,Milik Sendiri,Keramik,1
Perempuan,869,8585,885,5,2000000,0,2000000,Pedagang,Milik Sendiri,Keramik,0
Perempuan,80,80,79,4,500000,0,500000,Buruh,Milik Sendiri,Keramik,1
Perempuan,8175,80,8371,4,1000000,0,1000000,Wiraswasta,Sewa Bulanan,Ubin,1
Laki-laki,8123,81,82,4,350000,0,350000,Jasa pasang antena TV,Menumpang,Keramik,1
Perempuan,815,858,868,2,1500000,1000000,2500000,Buruh Harian Lepas,Milik Sendiri,Keramik,1
Perempuan,80,848,8396,3,0,500000,500000,TIDAK BEKERJA,Menumpang,Keramik,0
Perempuan,805,830,843,5,1500000,0,1500000,Buruh,Menumpang,Keramik,0
Perempuan,8138,8677,8638,4,1000000,700000,1700000,Karyawan swasta,Menumpang,Keramik,1
Perempuan,8,8,8,7,500000,0,500000,Tidak ada pekerjaan ,Menumpang,Ubin,1
Perempuan,878,868,901,4,2100000,0,2100000,Buruh,Sewa Bulanan,Ubin,1
Perempuan,836,870,880,5,3000000,0,3000000,Pegawai Swasta,Menumpang,Keramik,1
Perempuan,8817,8550,8580,5,1500000,1250000,2750000,WIRASWASTA,Menumpang,Keramik,1
Laki-laki,76,80,79,4,1500000,1500000,3000000,Security,Milik Sendiri,Semen Plaster,0
Perempuan,,,,4,3500000,0,3500000,Pedagang,Sewa Tahunan,Ubin,1
Laki-laki,,,,4,0,3000000,3000000,-,Sewa Bulanan,Keramik,0
Perempuan,90,89,90,4,2000000,0,2000000,Sales,Sewa Tahunan,Keramik,1
Perempuan,82,81,83,6,1000000,0,1000000,wirausaha,Milik Sendiri,Ubin,0
Perempuan,8271,8435,86,3,0,0,0,Tidak bekerja,Menumpang,Keramik,1
Laki-laki,8025,7663,84,6,2000000,0,2000000,Buruh Supir,Milik Sendiri,Keramik,1
Perempuan,83,85,87,4,0,1500000,1500000,-,Sewa Bulanan,Keramik,1
Laki-laki,8083,826,836,5,2800000,0,2800000,Karyawan Swasta,Milik Sendiri,Kayu,1
Perempuan,83,86,88,4,1000000,0,1000000,Buruh harian lepas,Milik Sendiri,Semen Plaster,0
Laki-laki,85,86,86,3,800000,0,800000,TUKANG BECAK,Milik Sendiri,Keramik,1
Perempuan,832,842,868,5,50000,800000,850000,Buruh harian lepas,Sewa Bulanan,Keramik,1
Perempuan,87,88,90,4,1500000,0,1500000,Karyawan swasta/driver,Sewa Bulanan,Keramik,0
Laki-laki,795,812,821,6,1000000,0,1000000,Petani,Milik Sendiri,Semen Plaster,1
Laki-laki,81,81,79,3,300000,100000,400000,WIRASWASTA,Sewa Bulanan,Keramik,0
Perempuan,872,8840,878,4,2000000,0,2000000,Staff Parkir,Sewa Bulanan,Keramik,0
Laki-laki,7964,84,5,2,2500000,0,2500000,BURUH,Menumpang,Semen Plaster,1
Laki-laki,7781,749,7527,7,0,1.00E+13,1.00E+13,Wirausaha,Milik Sendiri,Ubin,1
Perempuan,8325,85,87,4,1000000,0,1000000,Wirausaha,Milik Sendiri,Ubin,0
Perempuan,,,,2,1900000,1000000,2900000,Teknisi AC,Menumpang,Kayu,0
Perempuan,840625,8325,8593,5,2400000,0,2400000,Petani,Menumpang,Semen Plaster,1
Perempuan,84625,820625,846875,4,3500000,0,3500000,Buruh ,Milik Sendiri,Ubin,0
Perempuan,864,85,87,6,1500000,0,1500000,Buruh,Menumpang,Keramik,1
Perempuan,82,84,85,7,27500000,0,27500000,PEDAGANG KAKI LIMA,Sewa Bulanan,Keramik,1
Laki-laki,94235,7708,8720,8,3000000,0,3000000,Wiraswasta,Milik Sendiri,Keramik,1
Perempuan,8190,816,867,5,2500000,0,2500000,Sopir,Menumpang,Ubin,0
Laki-laki,75,80,80,3,500000,0,500000,PETANI,Milik Sendiri,Semen Plaster,1
Laki-laki,,,,3,1750000,750000,2500000,Buruh Tani,Milik Sendiri,Keramik,1
Perempuan,76,80,71,5,750000,0,750000,Buruh,Milik Sendiri,Semen Plaster,1
Laki-laki,79,7,7,5,0,900000,900000,-,Milik Sendiri,Keramik,1
Laki-laki,848,864,884,5,2000000,0,2000000,WIRASWASTA,Sewa Tahunan,Semen Plaster,1
Perempuan,85,90,905,4,5000000,0,5000000,PNS,Milik Sendiri,Ubin,0
Perempuan,85,94,85,6,50000,0,50000,Dagang,Menumpang,Keramik,1
Perempuan,8584,8784,902,5,2000000,0,2000000,Sales,Milik Sendiri,Keramik,1
Perempuan,875,903,92,4,3000000,0,3000000,BURUH,Milik Sendiri,Keramik,1
Laki-laki,,,,5,500000,800000,1300000,Supir taxi,Sewa Bulanan,Keramik,0
Laki-laki,76,80,71,4,2500000,2200000,4700000,Karyawan swasta,Sewa Bulanan,Keramik,1
Laki-laki,87,91,90,3,0,450000,450000,Ayah sudah wafat,Milik Sendiri,Keramik,0
Laki-laki,81,87,88,3,1000000,0,1000000,Pekerja Swasta,Milik Sendiri,Kayu,1
Perempuan,84,84,86,4,0,1000000,1000000,-,Menumpang,Keramik,1
Perempuan,84,85,95,5,2000000,0,2000000,Wirausaha,Milik Sendiri,Keramik,0
